미국 USD : 1\,459.50
유럽연합 EUR : 1\,692.58
일본 JPY (100엔) : 943.13
중국 CNY : 205.37
홍콩 HKD : 187.77
대만 TWD : 46.86
영국 GBP : 1\,918.15
오만 OMR : 3\,790.91
캐나다 CAD : 1\,039.68
스위스 CHF : 1\,834.58
스웨덴 SEK : 154.04
호주 AUD : 950.79
뉴질랜드 NZD : 826.00
체코 CZK : 70.05
칠레 CLP : 1.58
튀르키예 TRY : 34.48
몽골 MNT : 0.41
이스라엘 ILS : 452.56
덴마크 DKK : 226.67
노르웨이 NOK : 144.24
사우디아라비아 SAR : 389.21
쿠웨이트 KWD : 4\,754.38
바레인 BHD : 3\,871.04
아랍에미리트 AED : 397.39
요르단 JOD : 2\,058.53
이집트 EGP : 30.98
태국 THB : 45.01
싱가포르 SGD : 1\,121.53
말레이시아 MYR : 351.60
인도네시아 IDR 100 : 8.72
카타르 QAR : 400.41
카자흐스탄 KZT : 2.78
브루나이 BND : 1\,121.53
인도 INR : 16.45
파키스탄 PKR : 5.16
방글라데시 BDT : 11.92
필리핀 PHP : 24.67
멕시코 MXN : 79.64
브라질 BRL : 275.56
베트남 VND 100 : 5.54
남아프리카 공화국 ZAR : 85.29
러시아 RUB : 18.05
헝가리 HUF : 4.40
폴란드 PLN : 400.53
스리랑카 LKR : 4.76
알제리 DZD : 11.21
케냐 KES : 11.29
콜롬비아 COP : 0.39
탄자니아 TZS : 0.60
네팔 NPR : 10.28
루마니아 RON : 332.98
리비아 LYD : 267.53
마카오 MOP : 182.16
미얀마 MMK : 0.70
에티오피아 ETB : 9.35
우즈베키스탄 UZS : 0.12
캄보디아 KHR : 0.36
피지 FJD : 640.21
