"“비트코인 14억 간다”던 부자아빠…비트코인 확 떨어졌는데 “매도 안해, 장기 보유할 것”, 왜?",헤럴드경제
소비자 소송을 본점으로만 제한한 금융약관 적발,TV조선
"대동, 3Q 누적 매출 1.2조 전년比 4.7%↑...""북미·유럽 성장세 지속""",머니투데이
일 잘한 소상공인 지원 확대…3.3兆 ‘원스톱 대출’ 시대 열린다,디지털타임스
"""50만원 케이크 등장""…신라호텔, 연말 케이크 5종 출시[오늘의신상]",아시아경제
"LG엔솔, 오창서 국산 ESS용 LFP 배터리 생산한다",머니투데이
월급 통째로 14년 모아야 서울에 내집 마련,파이낸셜뉴스
150조 ‘국민성장펀드’ 본격 시동…“금융권 역량 총동원”,이데일리
"""근본부터 재점검하겠다""…런던베이글뮤지엄, 근로환경 개선안 발표",한국경제
"주담대 금리, 2년 만에 6%대로 치솟아…연말까지 오름세 지속 전망",JTBC
시프트업 주가 반 토막 났지만… 임원은 지분 팔아 59억원 차익 예고,조선비즈
"""일본여행 취소 할래요""…中 '한일령'에 우르르 몰릴 여행지",한국경제
"‘마이크론·SK하이닉스 겹호재’ 한미반도체, 5% 들썩 [줍줍리포트]",서울경제
ASML의 여유로운 표정 뒤… 中 눈치보랴 '땀 뻘뻘' [김경민의 적시타],파이낸셜뉴스
12만→9만4000달러 '와르르'...비트코인 올해 상승분 반납,주간조선
"'노소영 측근' 유튜버, 법정서 최태원 가짜뉴스 유포 인정…""경솔했다""",더팩트
10월 서울 집값 1.19%↑…9월 상승폭의 2배로 올랐다,SBS Biz
"""對美 투자 외환시장 영향 있다면 축소…팩트시트 '과락' 면한 정도""(종합)",뉴시스
단 하루만에 동의율 50% 돌파… 잘나가는 재건축 단지의 변화,디지털타임스
올해 크리스마스 ‘인생 한컷’은 여기서?,경향신문
"""아파트 대신 오피스텔 사요""...10·15 대책에 등 돌렸다",파이낸셜뉴스
10월 서울 집값 1.19% 상승…성동 3.01%·송파 2.93%↑,뉴시스
"이억원 “국민성장펀드, 단군이래 최대 규모…첨단산업 대전환 계기”",데일리안
‘내년 IPO 도전’ 뱅크샐러드 최대주주 바뀐다,조선비즈
성동구·송파구 등 ‘한강벨트’ 상승세 굳건… 10월 서울 집값 더 올랐다,조선비즈
"“지방서 집도 안보고 계약” 10·15 직전 ‘패닉바잉’, 서울 7년 2개월만 최대 상승[부동산360]",헤럴드경제
10월 서울 집값 1.19% 급등…성동·마포 등 한강벨트 뛰어,이데일리
“공급 과잉에 운임 하락 지속”… HMM 목표가 줄하향,부산일보
"'빚투' 26조 돌파에…금융위 ""레버리지 투자 신중히""",한국경제
강남·송파 집값 15%↑…'똘똘한 한 채' 수요에 7년 만에 최대 폭,뉴스1
[티타임] 코스피 1.6%대 상승 4000선 '지지'… 코스닥도 오름세,머니S
"KAI, 멈칫한 올해 지나면 내년 매출 5兆대 '점프'",파이낸셜뉴스
공인중개協 법정단체화 임박… 프롭테크 “감시할 독립기구 필요”,조선비즈
[르포] “강남 대신 옆세권이라도”…‘이 아파트’ 견본주택에 인파 몰린 이유,매일경제
"'연임 도전' 서유석, 현직 프리미엄 속 중립성 논란 불식시킬까",데일리안
"“아시아 최대 규모 물류센터 전소” 이랜드, 재고 피해·물류 차질 ‘이중고’",데일리안
인덕원~동탄 복선철 더 늦어지나…사고보고서 이달중 발표,한국경제
광명뉴타운 최대어 '힐스테이트 광명11' 17일부터 청약,더팩트
"“총수 2세 회사에 일감 몰아주기”…공정위, 우미건설에 483억 과징금 부과",채널A
5년간 환치기 11조 원·외화 밀반출입 2조 원‥관세청 특별 단속,MBC
"""당장 2억이 어딨어요"" 서울 떠나는 '전세 난민'…부천·광명으로",머니투데이
"10월 상생페이백 3373억 ""7조 소비진작 효과""",파이낸셜뉴스
"현대글로비스, 자동차가 아니라 전차·자주포!!…폴란드에 K2·K9 운송‥ “특수화물 시장 공략”",문화일보
"현대차그룹, '피지컬 AI' 밑그림…뿌리부터 양산까지 국내에 밸류체인",뉴스1
"더핑크퐁컴퍼니, 브랜드 파워 '여전'…""상장 후 주가 흐름은 미지수""",한국경제TV
"‘신세계家 외손녀’ 애니, K뷰티 브랜드 ‘클리오’ 모델 됐다",조선비즈
